Uploaded to Postgres DB,Uploaded to popchange-data.liverpool.ac.uk,Percentage,Complete,Category,Name,Year,Table Number,Column Number,Denominator,Input File Name,Column Code,ColumnCode Length,Notes,Output Filename
,,20161014,x,Country of Birth,Europe\ Ireland - Unit : Persons,2011,QS203,QS203EW0014,,2011-OA-attributes-qs203.csv,Ireland,7,,5a_ascii_grid2011_Country_of_Birth_Ireland.asc
,,20161014,x,Country of Birth,Europe\ Other Europe - Unit : Persons,2011,QS203,QS203EW0015,,2011-OA-attributes-qs203.csv,OthEurop,8,,5a_ascii_grid2011_Country_of_Birth_OthEurop.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU Countries - Unit : Persons,2011,QS203,QS203EW0016,,2011-OA-attributes-qs203.csv,OthEU,5,,5a_ascii_grid2011_Country_of_Birth_OthEU.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Member countries in March 2001 - Unit : Persons,2011,QS203,QS203EW0017,,2011-OA-attributes-qs203.csv,EU01,6,,5a_ascii_grid2011_Country_of_Birth_EU01.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Member countries in March 2001\ France - Unit : Persons,2011,QS203,QS203EW0018,,2011-OA-attributes-qs203.csv,France,7,,5a_ascii_grid2011_Country_of_Birth_France.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Member countries in March 2001\ Germany - Unit : Persons,2011,QS203,QS203EW0019,,2011-OA-attributes-qs203.csv,Germany,5,,5a_ascii_grid2011_Country_of_Birth_Germany.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Member countries in March 2001\ Italy - Unit : Persons,2011,QS203,QS203EW0020,,2011-OA-attributes-qs203.csv,Italy,8,,5a_ascii_grid2011_Country_of_Birth_Italy.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Member countries in March 2001\ Portugal - Unit : Persons,2011,QS203,QS203EW0021,,2011-OA-attributes-qs203.csv,Portugal,5,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_Portugal.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Member countries in March 2001\ Spain (including Canary Islands) - Unit : Persons,2011,QS203,QS203EW0022,,2011-OA-attributes-qs203.csv,Spain,7,,5a_ascii_grid2011_Country_of_Birth_Spain.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Member countries in March 2001\ Other member countries in March 2001 - Unit : Persons,2011,QS203,QS203EW0023,,2011-OA-attributes-qs203.csv,OthEU01,7,,5a_ascii_grid2011_Country_of_Birth_OthEU01.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Accession countries April 2001 to March 2011 - Unit : Persons,2011,QS203,QS203EW0024,,2011-OA-attributes-qs203.csv,EU11,4,,5a_ascii_grid2011_Country_of_Birth_EU11.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Accession countries April 2001 to March 2011\ Lithuania - Unit : Persons,2011,QS203,QS203EW0025,,2011-OA-attributes-qs203.csv,Lithuan,7,,5a_ascii_grid2011_Country_of_Birth_Lithuan.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Accession countries April 2001 to March 2011\ Poland - Unit : Persons,2011,QS203,QS203EW0026,,2011-OA-attributes-qs203.csv,Poland,6,,5a_ascii_grid2011_Country_of_Birth_Poland.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Accession countries April 2001 to March 2011\ Romania - Unit : Persons,2011,QS203,QS203EW0027,,2011-OA-attributes-qs203.csv,Romania,7,,5a_ascii_grid2011_Country_of_Birth_Romania.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ EU countries\ Accession countries April 2001 to March 2011\ Other EU accession countries - Unit : Persons,2011,QS203,QS203EW0028,,2011-OA-attributes-qs203.csv,OthEU11,7,,5a_ascii_grid2011_Country_of_Birth_OthEU11.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ Rest of Europe - Unit : Persons,2011,QS203,QS203EW0029,,2011-OA-attributes-qs203.csv,RestEuro,8,,5a_ascii_grid2011_Country_of_Birth_RestEuro.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ Rest of Europe\ Turkey - Unit : Persons,2011,QS203,QS203EW0030,,2011-OA-attributes-qs203.csv,Turkey,6,,5a_ascii_grid2011_Country_of_Birth_Turkey.asc
,,20161014,x,Country of Birth,Europe\ Other Europe\ Rest of Europe\ Other Europe - Unit : Persons,2011,QS203,QS203EW0031,,2011-OA-attributes-qs203.csv,RestEurO,8,,Missing
,,20161014,x,Country of Birth,Africa - Unit : Persons,2011,QS203,QS203EW0032,,2011-OA-attributes-qs203.csv,Africa,6,,5a_ascii_grid2011_Country_of_Birth_Africa.asc
,,20161014,x,Country of Birth,Africa\ North Africa - Unit : Persons,2011,QS203,QS203EW0033,,2011-OA-attributes-qs203.csv,NtAfrica,8,,5a_ascii_grid2011_Country_of_Birth_NtAfrica.asc
,,20161014,x,Country of Birth,Africa\ Central and Western Africa - Unit : Persons,2011,QS203,QS203EW0034,,2011-OA-attributes-qs203.csv,CWAfrica,8,,5a_ascii_grid2011_Country_of_Birth_CWAfrica.asc
,,20161014,x,Country of Birth,Africa\ Central and Western Africa\ Ghana - Unit : Persons,2011,QS203,QS203EW0035,,2011-OA-attributes-qs203.csv,Ghana,5,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_Ghana.asc
,,20161014,x,Country of Birth,Africa\ Central and Western Africa\ Nigeria - Unit : Persons,2011,QS203,QS203EW0036,,2011-OA-attributes-qs203.csv,Nigeria,7,,5a_ascii_grid2011_Country_of_Birth_Nigeria.asc
,,20161014,x,Country of Birth,Africa\ Central and Western Africa\ Other Central and Western Africa - Unit : Persons,2011,QS203,QS203EW0037,,2011-OA-attributes-qs203.csv,OtCWAfr,7,,5a_ascii_grid2011_Country_of_Birth_OtCWAfr.asc
,,20161014,x,Country of Birth,Africa\ South and Eastern Africa - Unit : Persons,2011,QS203,QS203EW0038,,2011-OA-attributes-qs203.csv,SEAfrica,8,,5a_ascii_grid2011_Country_of_Birth_SEAfrica.asc
,,20161014,x,Country of Birth,Africa\ South and Eastern Africa\ Kenya - Unit : Persons,2011,QS203,QS203EW0039,,2011-OA-attributes-qs203.csv,Kenya,5,,5a_ascii_grid2011_Country_of_Birth_Kenya.asc
,,20161014,x,Country of Birth,Africa\ South and Eastern Africa\ Somalia - Unit : Persons,2011,QS203,QS203EW0040,,2011-OA-attributes-qs203.csv,Somalia,7,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_Somalia.asc
,,20161014,x,Country of Birth,Africa\ South and Eastern Africa\ South Africa - Unit : Persons,2011,QS203,QS203EW0041,,2011-OA-attributes-qs203.csv,SouthAfr,8,,5a_ascii_grid2011_Country_of_Birth_SouthAfr.asc
,,20161014,x,Country of Birth,Africa\ South and Eastern Africa\ Zimbabwe - Unit : Persons,2011,QS203,QS203EW0042,,2011-OA-attributes-qs203.csv,Zimbab,6,,5a_ascii_grid2011_Country_of_Birth_Zimbab.asc
,,20161014,x,Country of Birth,Africa\ South and Eastern Africa\ Other South and Eastern Africa - Unit : Persons,2011,QS203,QS203EW0043,,2011-OA-attributes-qs203.csv,OtSEAfra,8,,5a_ascii_grid2011_Country_of_Birth_OtSEAfra.asc
,,20161014,x,Country of Birth,Africa\ Africa not otherwise specified - Unit : Persons,2011,QS203,QS203EW0044,,2011-OA-attributes-qs203.csv,AfricaOt,8,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_AfricaOt.asc
,,20161014,x,Country of Birth,Middle East and Asia - Unit : Persons,2011,QS203,QS203EW0045,,2011-OA-attributes-qs203.csv,MidEsAs,7,,5a_ascii_grid2011_Country_of_Birth_MidEsAs.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Middle East - Unit : Persons,2011,QS203,QS203EW0046,,2011-OA-attributes-qs203.csv,MidEast,4,,5a_ascii_grid2011_Country_of_Birth_MidEast.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Middle East\ Iran - Unit : Persons,2011,QS203,QS203EW0047,,2011-OA-attributes-qs203.csv,Iran,8,,5a_ascii_grid2011_Country_of_Birth_Iran.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Middle East\ Other Middle East - Unit : Persons,2011,QS203,QS203EW0048,,2011-OA-attributes-qs203.csv,OtMidEst,8,,5a_ascii_grid2011_Country_of_Birth_OtMidEst.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Eastern Asia - Unit : Persons,2011,QS203,QS203EW0049,,2011-OA-attributes-qs203.csv,China,8,,5a_ascii_grid2011_Country_of_Birth_China.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Eastern Asia\ China - Unit : Persons,2011,QS203,QS203EW0050,,2011-OA-attributes-qs203.csv,EastAsia,8,,5a_ascii_grid2011_Country_of_Birth_EastAsia.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Eastern Asia\ Hong Kong (Special Administrative Region of China) - Unit : Persons,2011,QS203,QS203EW0051,,2011-OA-attributes-qs203.csv,HongKong,8,,5a_ascii_grid2011_Country_of_Birth_HongKong.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Eastern Asia\ Other Eastern Asia - Unit : Persons,2011,QS203,QS203EW0052,,2011-OA-attributes-qs203.csv,OtEastAs,8,,5a_ascii_grid2011_Country_of_Birth_OtEastAs.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Southern Asia - Unit : Persons,2011,QS203,QS203EW0053,,2011-OA-attributes-qs203.csv,SthAsia,7,,5a_ascii_grid2011_Country_of_Birth_SthAsia.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Southern Asia\ Bangladesh - Unit : Persons,2011,QS203,QS203EW0054,,2011-OA-attributes-qs203.csv,Banglads,8,,5a_ascii_grid2011_Country_of_Birth_Banglads.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Southern Asia\ India - Unit : Persons,2011,QS203,QS203EW0055,,2011-OA-attributes-qs203.csv,India,5,,5a_ascii_grid2011_Country_of_Birth_India.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Southern Asia\ Pakistan - Unit : Persons,2011,QS203,QS203EW0056,,2011-OA-attributes-qs203.csv,Pakistan,8,,5a_ascii_grid2011_Country_of_Birth_Pakistan.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Southern Asia\ Sri Lanka - Unit : Persons,2011,QS203,QS203EW0057,,2011-OA-attributes-qs203.csv,SriLanka,8,,5a_ascii_grid2011_Country_of_Birth_SriLanka.asc
,,20161014,x,Country of Birth,Middle East and Asia\ Southern Asia\ Other Southern Asia - Unit : Persons,2011,QS203,QS203EW0058,,2011-OA-attributes-qs203.csv,OtSthAs,7,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_OtSthAs
,,20161014,x,Country of Birth,Middle East and Asia\ South-East Asia - Unit : Persons,2011,QS203,QS203EW0059,,2011-OA-attributes-qs203.csv,SEAsia,6,,5a_ascii_grid2011_Country_of_Birth_SEAsia
,,20161014,x,Country of Birth,Middle East and Asia\ South-East Asia\ Philippines - Unit : Persons,2011,QS203,QS203EW0060,,2011-OA-attributes-qs203.csv,Phillipp,8,,5a_ascii_grid2011_Country_of_Birth_Phillipp
,,20161014,x,Country of Birth,Middle East and Asia\ South-East Asia\ Other South-East Asia - Unit : Persons,2011,QS203,QS203EW0061,,2011-OA-attributes-qs203.csv,OtSEAsia,8,,5a_ascii_grid2011_Country_of_Birth_OtSEAsia
,,20161014,x,Country of Birth,Middle East and Asia\ Central Asia - Unit : Persons,2011,QS203,QS203EW0062,,2011-OA-attributes-qs203.csv,Casia,5,,5a_ascii_grid2011_Country_of_Birth_Casia
,,20161014,x,Country of Birth,The Americas and the Caribbean - Unit : Persons,2011,QS203,QS203EW0063,,2011-OA-attributes-qs203.csv,AmerCab,7,,5a_ascii_grid2011_Country_of_Birth_AmerCab
,,20161014,x,Country of Birth,The Americas and the Caribbean\ North America - Unit : Persons,2011,QS203,QS203EW0064,,2011-OA-attributes-qs203.csv,NthAmer,7,,5a_ascii_grid2011_Country_of_Birth_NthAmer
,,20161014,x,Country of Birth,The Americas and the Caribbean\ North America\ United States - Unit : Persons,2011,QS203,QS203EW0065,,2011-OA-attributes-qs203.csv,US,2,,5a_ascii_grid2011_Country_of_Birth_US
,,20161014,x,Country of Birth,The Americas and the Caribbean\ North America\ Other North America - Unit : Persons,2011,QS203,QS203EW0066,,2011-OA-attributes-qs203.csv,OthNthAm,8,,5a_ascii_grid2011_Country_of_Birth_OthNthAm
,,20161014,x,Country of Birth,The Americas and the Caribbean\ Central America - Unit : Persons,2011,QS203,QS203EW0067,,2011-OA-attributes-qs203.csv,CentAmer,8,,5a_ascii_grid2001_Country_of_Birth_All
,,20161014,x,Country of Birth,The Americas and the Caribbean\ South America - Unit : Persons,2011,QS203,QS203EW0068,,2011-OA-attributes-qs203.csv,SouthAm,7,,5a_ascii_grid2011_Country_of_Birth_SouthAm
,,20161014,x,Country of Birth,The Americas and the Caribbean\ The Caribbean - Unit : Persons,2011,QS203,QS203EW0069,,2011-OA-attributes-qs203.csv,Caribbea,8,,5a_ascii_grid2011_Country_of_Birth_Caribbea
,,20161014,x,Country of Birth,The Americas and the Caribbean\ The Caribbean\ Jamaica - Unit : Persons,2011,QS203,QS203EW0070,,2011-OA-attributes-qs203.csv,Jamaica,7,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_Jamaica
,,20161014,x,Country of Birth,The Americas and the Caribbean\ The Caribbean\ Other Caribbean - Unit : Persons,2011,QS203,QS203EW0071,,2011-OA-attributes-qs203.csv,OthCarib,8,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_OthCarib
,,20161014,x,Country of Birth,Antarctica and Oceania - Unit : Persons,2011,QS203,QS203EW0072,,2011-OA-attributes-qs203.csv,AntOcean,8,,5a_ascii_grid2011_Country_of_Birth_AntOcean
,,20161014,x,Country of Birth,Antarctica and Oceania\ Antarctica - Unit : Persons,2011,QS203,QS203EW0073,,2011-OA-attributes-qs203.csv,Antarct,7,,5a_ascii_grid2011_Country_of_Birth_Antarct
,,20161014,x,Country of Birth,Antarctica and Oceania\ Australasia - Unit : Persons,2011,QS203,QS203EW0074,,2011-OA-attributes-qs203.csv,Australs,8,,5a_ascii_grid2011_Country_of_Birth_Australs
,,20161014,x,Country of Birth,Antarctica and Oceania\ Other Oceania - Unit : Persons,2011,QS203,QS203EW0077,,2011-OA-attributes-qs203.csv,OthOcea,7,,5a_ascii_grid2011_Country_of_Birth_OthOcea
,,20161014,x,Country of Birth,Other - Unit : Persons,2011,QS203,QS203EW0078,,2011-OA-attributes-qs203.csv,Other,5,,5a_ascii_grid2011_Country_of_Birth_Other
,,20161014,x,Country of Birth,All people - Unit : People,2001,UV008,F15589,,2001-OA-attributes_uv008,All,3,,5a_ascii_grid2001_Country_of_Birth_All
,,20161014,x,Country of Birth,Europe \ United Kingdom  \ England  - Unit : People,2001,UV008,F15590,,2001-OA-attributes_uv008,England,7,,5a_ascii_grid2001_Country_of_Birth_England.asc
,,20161014,x,Country of Birth,Europe \ United Kingdom  \ Scotland - Unit : People,2001,UV008,F15591,,2001-OA-attributes_uv008,Scotland,8,,5a_ascii_grid2001_Country_of_Birth_Scotland.asc
,,20161014,x,Country of Birth,Europe \ United Kingdom  \ Wales - Unit : People,2001,UV008,F15592,,2001-OA-attributes_uv008,Wales,5,,5a_ascii_grid2001_Country_of_Birth_Wales.asc
,,20161014,x,Country of Birth,Europe \ United Kingdom  \ Northern Ireland - Unit : People,2001,UV008,F15593,,2001-OA-attributes_uv008,NorthIre,8,,5a_ascii_grid2001_Country_of_Birth_NorthIre.asc
,,20161014,x,Country of Birth,Europe \ Republic of Ireland - Unit : People,2001,UV008,F15594,,2001-OA-attributes_uv008,RoI,3,,5a_ascii_grid2001_Country_of_Birth_RoI.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe \ EU countries  \ Other EU - Unit : People,2001,UV008,F15595,,2001-OA-attributes_uv008,OtherEU,7,Not available for Scotland,5a_ascii_grid2001_Country_of_Birth_OtherEU.asc
,,20161014,x,Country of Birth,Other - Unit : People,2001,UV008,F15596,,2001-OA-attributes_uv008,Other,5,Not available for Scotland,5a_ascii_grid2001_Country_of_Birth_Other.asc
,,20161014,x,Country of Birth,Europe - Unit : People,2001,UV008,F96139,,2001-OA-attributes_uv008,Europe,6,Not available for Scotland,5a_ascii_grid2001_Country_of_Birth_Europe.asc
,,20161014,x,Country of Birth,Europe \ United Kingdom  - Unit : People,2001,UV008,F96140,,2001-OA-attributes_uv008,UK,2,Not available for Scotland,5a_ascii_grid2001_Country_of_Birth_UK.asc
,,20161014,x,Country of Birth,Europe \ United Kingdom  \ UK part not specified - Unit : People,2001,UV008,F96145,,2001-OA-attributes_uv008,UKOther,7,,5a_ascii_grid2001_Country_of_Birth_UKOther.asc
,,20161014,x,Country of Birth,Europe \ Channel Islands and Isle of Man - Unit : People,2001,UV008,F96147,,2001-OA-attributes_uv008,CI_IOM,6,,5a_ascii_grid2001_Country_of_Birth_CI_IOM.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe - Unit : People,2001,UV008,F96148,,2001-OA-attributes_uv008,OthWestE,8,,5a_ascii_grid2001_Country_of_Birth_OthWestE.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe \ EU countries  - Unit : People,2001,UV008,F96149,,2001-OA-attributes_uv008,EU,2,,5a_ascii_grid2001_Country_of_Birth_EU.asc
,,20161014,x,Country of Birth,Austria - Unit : People,2001,UV008,F96150,,2001-OA-attributes_uv008,Austria,7,,5a_ascii_grid2001_Country_of_Birth_Austria.asc
,,20161014,x,Country of Birth,Belgium - Unit : People,2001,UV008,F96151,,2001-OA-attributes_uv008,Belgium,7,,5a_ascii_grid2001_Country_of_Birth_Belgium.asc
,,20161014,x,Country of Birth,Denmark - Unit : People,2001,UV008,F96152,,2001-OA-attributes_uv008,Denmark,7,,5a_ascii_grid2001_Country_of_Birth_Denmark.asc
,,20161014,x,Country of Birth,Finland - Unit : People,2001,UV008,F96153,,2001-OA-attributes_uv008,Finland,7,,5a_ascii_grid2001_Country_of_Birth_Finland.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe \ EU countries  \ France  - Unit : People,2001,UV008,F96154,,2001-OA-attributes_uv008,France,6,,5a_ascii_grid2001_Country_of_Birth_France.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe \ EU countries  \ Germany - Unit : People,2001,UV008,F96155,,2001-OA-attributes_uv008,Germany,7,,5a_ascii_grid2001_Country_of_Birth_Germany.asc
,,20161014,x,Country of Birth,Greece - Unit : People,2001,UV008,F96156,,2001-OA-attributes_uv008,Greece,6,,5a_ascii_grid2001_Country_of_Birth_Greece.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe \ EU countries  \ Italy  - Unit : People,2001,UV008,F96157,,2001-OA-attributes_uv008,Italy,5,,5a_ascii_grid2001_Country_of_Birth_Italy.asc
,,20161014,x,Country of Birth,Luxembourg - Unit : People,2001,UV008,F96158,,2001-OA-attributes_uv008,Luxembou,8,,5a_ascii_grid2001_Country_of_Birth_Luxembou.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe \ EU countries  \ Netherlands  - Unit : People,2001,UV008,F96159,,2001-OA-attributes_uv008,Netherla,8,,5a_ascii_grid2001_Country_of_Birth_Netherla.asc
,,20161014,x,Country of Birth,Portugal - Unit : People,2001,UV008,F96160,,2001-OA-attributes_uv008,Portugal,8,,5a_ascii_grid2001_Country_of_Birth_Portugal.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe \ EU countries  \ Spain - Unit : People,2001,UV008,F96161,,2001-OA-attributes_uv008,Spain,5,,5a_ascii_grid2001_Country_of_Birth_Spain.asc
,,20161014,x,Country of Birth,Sweden - Unit : People,2001,UV008,F96162,,2001-OA-attributes_uv008,Sweeden,7,,5a_ascii_grid2001_Country_of_Birth_Sweeden.asc
,,20161014,x,Country of Birth,Europe \ Other Western Europe \ Non EU countries in Western Europe - Unit : People,2001,UV008,F96163,,2001-OA-attributes_uv008,NonEUWEu,8,,5a_ascii_grid2001_Country_of_Birth_NonEUWEu.asc
,,20161014,x,Country of Birth,Europe \ Eastern Europe - Unit : People,2001,UV008,F96164,,2001-OA-attributes_uv008,EastEuro,8,,5a_ascii_grid2001_Country_of_Birth_EastEuro.asc
,,20161014,x,Country of Birth,Albania - Unit : People,2001,UV008,F96165,,2001-OA-attributes_uv008,Albania,7,,5a_ascii_grid2001_Country_of_Birth_Albania.asc
,,20161014,x,Country of Birth,Czech Republic - Unit : People,2001,UV008,F96166,,2001-OA-attributes_uv008,CzechRep,8,,5a_ascii_grid2001_Country_of_Birth_CzechRep.asc
,,20161014,x,Country of Birth,Romania - Unit : People,2001,UV008,F96167,,2001-OA-attributes_uv008,Romania,7,,5a_ascii_grid2001_Country_of_Birth_Romania.asc
,,20161014,x,Country of Birth,Europe \ Eastern Europe \ Poland - Unit : People,2001,UV008,F96168,,2001-OA-attributes_uv008,Poland,6,,5a_ascii_grid2001_Country_of_Birth_Poland.asc
,,20161014,x,Country of Birth,Turkey - Unit : People,2001,UV008,F96169,,2001-OA-attributes_uv008,Turkey,6,,5a_ascii_grid2001_Country_of_Birth_Turkey.asc
,,20161014,x,Country of Birth,Former Yugoslavia - Unit : People,2001,UV008,F96170,,2001-OA-attributes_uv008,FmrYoug,7,,5a_ascii_grid2001_Country_of_Birth_FmrYoug.asc
,,20161014,x,Country of Birth,Baltic States - Unit : People,2001,UV008,F96171,,2001-OA-attributes_uv008,Baltic,6,,5a_ascii_grid2001_Country_of_Birth_Baltic.asc
,,20161014,x,Country of Birth,Other European countries in former USSR - Unit : People,2001,UV008,F96172,,2001-OA-attributes_uv008,EurUSSR,7,,5a_ascii_grid2001_Country_of_Birth_EurUSSR.asc
,,20161014,x,Country of Birth,Europe \ Eastern Europe \ Other Eastern Europe - Unit : People,2001,UV008,F96173,,2001-OA-attributes_uv008,OthEstEu,8,,5a_ascii_grid2001_Country_of_Birth_OthEstEu.asc
,,20161014,x,Country of Birth,Africa - Unit : People,2001,UV008,F96174,,2001-OA-attributes_uv008,Africa,6,,5a_ascii_grid2001_Country_of_Birth_Africa.asc
,,20161014,x,Country of Birth,Africa \ North Africa - Unit : People,2001,UV008,F96175,,2001-OA-attributes_uv008,NtAfrica,8,,5a_ascii_grid2001_Country_of_Birth_NtAfrica.asc
,,20161014,x,Country of Birth,Africa \ Central and Western Africa - Unit : People,2001,UV008,F96176,,2001-OA-attributes_uv008,CWAfrica,8,,5a_ascii_grid2001_Country_of_Birth_CWAfrica.asc
,,20161014,x,Country of Birth,Democratic Republic of Congo - Unit : People,2001,UV008,F96177,,2001-OA-attributes_uv008,Congo,5,,5a_ascii_grid2001_Country_of_Birth_Congo.asc
,,20161014,x,Country of Birth,Africa \ Central and Western Africa \ Nigeria - Unit : People,2001,UV008,F96178,,2001-OA-attributes_uv008,Nigeria,7,,5a_ascii_grid2001_Country_of_Birth_Nigeria.asc
,,20161014,x,Country of Birth,Sierra Leone - Unit : People,2001,UV008,F96179,,2001-OA-attributes_uv008,SierLeo,7,,5a_ascii_grid2001_Country_of_Birth_SierLeo.asc
,,20161014,x,Country of Birth,Africa \ Central and Western Africa \ Other Central and Western Africa - Unit : People,2001,UV008,F96180,,2001-OA-attributes_uv008,OtSWAfr,7,,5a_ascii_grid2001_Country_of_Birth_OtSWAfr.asc
,,20161014,x,Country of Birth,Africa \ South and Eastern Africa - Unit : People,2001,UV008,F96181,,2001-OA-attributes_uv008,SEAfric,7,,5a_ascii_grid2001_Country_of_Birth_SEAfric.asc
,,20161014,x,Country of Birth,Africa \ South and Eastern Africa \ Kenya - Unit : People,2001,UV008,F96182,,2001-OA-attributes_uv008,Kenya,5,,5a_ascii_grid2001_Country_of_Birth_Kenya.asc
,,20161014,x,Country of Birth,Somalia - Unit : People,2001,UV008,F96183,,2001-OA-attributes_uv008,Somalia,7,,5a_ascii_grid2001_Country_of_Birth_Somalia.asc
,,20161014,x,Country of Birth,Africa \ South and Eastern Africa \ South Africa - Unit : People,2001,UV008,F96184,,2001-OA-attributes_uv008,SouthAfr,8,,5a_ascii_grid2001_Country_of_Birth_SouthAfr.asc
,,20161014,x,Country of Birth,Africa \ South and Eastern Africa \ Zimbabwe - Unit : People,2001,UV008,F96185,,2001-OA-attributes_uv008,Zimbab,6,,5a_ascii_grid2001_Country_of_Birth_Zimbab.asc
,,20161014,x,Country of Birth,Africa \ South and Eastern Africa \ Other South and Eastern Africa - Unit : People,2001,UV008,F96186,,2001-OA-attributes_uv008,OtSEAfra,8,,5a_ascii_grid2001_Country_of_Birth_OtSEAfra.asc
,,20161014,x,Country of Birth,Asia - Unit : People,2001,UV008,F96187,,2001-OA-attributes_uv008,Asia,4,,5a_ascii_grid2001_Country_of_Birth_Asia.asc
,,20161014,x,Country of Birth,Asia \ Middle East  - Unit : People,2001,UV008,F96188,,2001-OA-attributes_uv008,MidEast,7,,5a_ascii_grid2001_Country_of_Birth_MidEast.asc
,,20161014,x,Country of Birth,Asia \ Middle East  \ Cyprus  - Unit : People,2001,UV008,F96189,,2001-OA-attributes_uv008,Cyprus,6,,5a_ascii_grid2001_Country_of_Birth_Cyprus.asc
,,20161014,x,Country of Birth,Asia \ Middle East  \ Iran - Unit : People,2001,UV008,F96190,,2001-OA-attributes_uv008,Iran,4,,5a_ascii_grid2001_Country_of_Birth_Iran.asc
,,20161014,x,Country of Birth,Iraq - Unit : People,2001,UV008,F96191,,2001-OA-attributes_uv008,Iraq,4,,5a_ascii_grid2001_Country_of_Birth_Iraq.asc
,,20161014,x,Country of Birth,Asia \ Middle East  \ Other Middle East - Unit : People,2001,UV008,F96192,,2001-OA-attributes_uv008,OtMidEst,8,,5a_ascii_grid2001_Country_of_Birth_OtMidEst.asc
,,20161014,x,Country of Birth,Asia \ Far East - Unit : People,2001,UV008,F96193,,2001-OA-attributes_uv008,FarEast,7,,5a_ascii_grid2001_Country_of_Birth_FarEast.asc
,,20161014,x,Country of Birth,Asia \ Far East \ China - Unit : People,2001,UV008,F96194,,2001-OA-attributes_uv008,China,5,,5a_ascii_grid2001_Country_of_Birth_China.asc
,,20161014,x,Country of Birth,Asia \ Far East \ Hong Kong  - Unit : People,2001,UV008,F96195,,2001-OA-attributes_uv008,HongKong,8,,5a_ascii_grid2001_Country_of_Birth_HongKong.asc
,,20161014,x,Country of Birth,Asia \ Far East \ Japan  - Unit : People,2001,UV008,F96196,,2001-OA-attributes_uv008,Japan,5,,5a_ascii_grid2001_Country_of_Birth_Japan.asc
,,20161014,x,Country of Birth,Asia \ Far East \ Malaysia  - Unit : People,2001,UV008,F96197,,2001-OA-attributes_uv008,Malaysia,8,,5a_ascii_grid2001_Country_of_Birth_Malaysia.asc
,,20161014,x,Country of Birth,Asia \ Far East \ Singapore - Unit : People,2001,UV008,F96198,,2001-OA-attributes_uv008,Singapor,8,,5a_ascii_grid2001_Country_of_Birth_Singapor.asc
,,20161014,x,Country of Birth,Asia \ Far East \ Other Far East - Unit : People,2001,UV008,F96199,,2001-OA-attributes_uv008,OtFarEas,8,,5a_ascii_grid2001_Country_of_Birth_OtFarEas.asc
,,20161014,x,Country of Birth,Asian countries in former USSR - Unit : People,2001,UV008,F96200,,2001-OA-attributes_uv008,AsUSSR,6,,5a_ascii_grid2001_Country_of_Birth_AsUSSR.asc
,,20161014,x,Country of Birth,Asia \ South Asia  - Unit : People,2001,UV008,F96201,,2001-OA-attributes_uv008,SthAsia,7,,5a_ascii_grid2001_Country_of_Birth_SthAsia.asc
